region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4420025321,44,200,253,21,4420025321,4420025321,충청남도 아산시 배방읍 중리,1,,4420025300,중리,20090501
4420025322,44,200,253,22,4420025322,4420025322,충청남도 아산시 배방읍 수철리,1,,4420025300,수철리,20090501
4420025323,44,200,253,23,4420025323,4420025323,충청남도 아산시 배방읍 신흥리,1,,4420025300,신흥리,20090501
4420025324,44,200,253,24,4420025324,4420025324,충청남도 아산시 배방읍 공수리,1,,4420025300,공수리,20090501
4420025325,44,200,253,25,4420025325,4420025325,충청남도 아산시 배방읍 북수리,1,,4420025300,북수리,20090501
4420025326,44,200,253,26,4420025326,4420025326,충청남도 아산시 배방읍 회룡리,1,,4420025300,회룡리,20090501
4420025327,44,200,253,27,4420025327,4420025327,충청남도 아산시 배방읍 세출리,1,,4420025300,세출리,20090501
4420025328,44,200,253,28,4420025328,4420025328,충청남도 아산시 배방읍 갈매리,1,,4420025300,갈매리,20090501
4420025329,44,200,253,29,4420025329,4420025329,충청남도 아산시 배방읍 세교리,1,,4420025300,세교리,20090501
4420025330,44,200,253,30,4420025330,4420025330,충청남도 아산시 배방읍 휴대리,1,,4420025300,휴대리,20090501
4420025331,44,200,253,31,4420025331,4420025331,충청남도 아산시 배방읍 장재리,1,,4420025300,장재리,20090501
4420025332,44,200,253,32,4420025332,4420025332,충청남도 아산시 배방읍 구령리,1,,4420025300,구령리,20090501
4420031000,44,200,310,00,4420031000,4420031000,충청남도 아산시 송악면,21,,4420000000,송악면,
4420031021,44,200,310,21,4420031021,4420031021,충청남도 아산시 송악면 역촌리,1,,4420031000,역촌리,
4420031022,44,200,310,22,4420031022,4420031022,충청남도 아산시 송악면 평촌리,2,,4420031000,평촌리,
4420031023,44,200,310,23,4420031023,4420031023,충청남도 아산시 송악면 외암리,3,,4420031000,외암리,
4420031024,44,200,310,24,4420031024,4420031024,충청남도 아산시 송악면 강당리,4,,4420031000,강당리,
4420031025,44,200,310,25,4420031025,4420031025,충청남도 아산시 송악면 마곡리,5,,4420031000,마곡리,
4420031026,44,200,310,26,4420031026,4420031026,충청남도 아산시 송악면 궁평리,6,,4420031000,궁평리,
4420031027,44,200,310,27,4420031027,4420031027,충청남도 아산시 송악면 유곡리,7,,4420031000,유곡리,
4420031028,44,200,310,28,4420031028,4420031028,충청남도 아산시 송악면 송학리,8,,4420031000,송학리,
4420031029,44,200,310,29,4420031029,4420031029,충청남도 아산시 송악면 종곡리,9,,4420031000,종곡리,
